CCGCode,Mid2018Pop
E38000001,160106
E38000002,129281
E38000004,211998
E38000005,392140
E38000006,245199
E38000007,262412
E38000008,116839
E38000009,192106
E38000010,455229
E38000221,489709
E38000011,247258
E38000220,1179020
E38000014,148942
E38000015,139305
E38000016,285372
E38000018,85957
E38000019,341873
E38000020,330795
E38000021,290395
E38000222,959968
E38000023,331096
E38000223,542512
E38000024,190108
E38000025,210082
E38000026,889112
E38000027,262226
E38000028,136974
E38000029,213598
E38000030,177051
E38000031,185422
E38000034,176862
E38000035,288371
E38000213,507449
E38000037,70827
E38000038,473979
E38000039,112448
E38000040,385346
E38000042,106566
E38000043,264478
E38000044,310542
E38000045,772268
E38000046,320626
E38000047,275314
E38000048,341982
E38000049,569078
E38000224,434463
E38000050,380013
E38000051,335800
E38000052,317404
E38000053,128418
E38000054,186016
E38000055,191604
E38000056,197296
E38000057,333869
E38000058,97354
E38000059,201622
E38000226,192421
E38000062,633558
E38000063,217681
E38000064,245977
E38000227,202562
E38000066,286186
E38000214,209413
E38000068,128432
E38000069,152950
E38000070,185426
E38000071,113011
E38000072,270624
E38000073,160533
E38000074,250149
E38000075,290455
E38000076,188511
E38000077,257810
E38000078,192107
E38000079,595670
E38000080,220001
E38000081,174475
E38000082,304824
E38000083,238955
E38000084,270782
E38000085,260645
E38000086,409248
E38000087,141538
E38000088,239142
E38000089,568210
E38000090,175470
E38000091,149571
E38000092,325917
E38000225,789194
E38000097,355218
E38000098,303536
E38000099,237642
E38000100,241193
E38000101,494814
E38000102,214109
E38000217,547627
E38000103,200715
E38000104,277855
E38000105,206186
E38000106,393065
E38000107,275002
E38000228,330572
E38000108,659823
E38000109,121830
E38000212,502704
E38000113,352005
E38000215,318631
E38000115,274480
E38000116,251666
E38000117,338326
E38000118,211590
E38000119,159821
E38000120,223795
E38000121,192750
E38000122,172005
E38000124,173784
E38000126,219571
E38000127,205985
E38000128,348734
E38000129,908806
E38000130,320274
E38000218,219071
E38000132,331069
E38000133,152799
E38000134,113272
E38000135,235623
E38000136,672414
E38000137,215133
E38000138,303858
E38000139,183651
E38000140,196904
E38000141,264671
E38000142,117671
E38000143,254408
E38000144,504641
E38000145,113338
E38000146,582506
E38000147,320274
E38000150,559399
E38000151,183494
E38000152,285360
E38000153,226137
E38000154,216379
E38000156,211462
E38000157,150698
E38000219,235551
E38000161,159237
E38000162,277263
E38000163,150265
E38000164,270064
E38000165,126300
E38000166,307344
E38000167,252796
E38000168,182463
E38000169,535055
E38000170,116159
E38000171,317256
E38000172,180049
E38000173,155803
E38000174,291775
E38000175,264149
E38000176,277417
E38000177,292579
E38000178,96474
E38000179,204525
E38000180,117559
E38000181,228258
E38000182,258613
E38000183,177799
E38000184,141819
E38000185,172525
E38000186,317705
E38000187,236370
E38000188,362955
E38000189,106251
E38000190,345038
E38000191,283378
E38000192,276700
E38000193,326474
E38000194,209547
E38000195,193752
E38000196,234251
E38000197,306910
E38000198,566879
E38000199,490426
E38000200,113949
E38000201,402165
E38000202,226099
E38000203,175904
E38000204,230997
E38000205,326088
E38000206,498064
E38000208,323235
E38000210,262008
E38000211,101062
